,costituency,name,party,twitter_id
0,South Swindon,Robert Buckland MP,Conservative,@RobertBuckland
0,Windsor,Adam Afriyie,Conservative,@AdamAfriyie
0,Cannock Chase,Aidan Burley MP,Conservative,@AidanBurleyMP
0,Rutland and Melton,Alan Duncan,Conservative,@AlanDuncanMP
0,Elmet and Rothwell,Alec Shelbrooke,Conservative,@AlecShelbrooke
0,Vale of Glamorgan,Alun Cairns,Conservative,@AlunCairns
0,Hastings and Rye,Amber Rudd,Conservative,@AmberRuddhr
0,South Northamptonshire,Andrea Leadsom,Conservative,@andrealeadsom
0,High Peak,Andrew Bingham MP,Conservative,@HighPeakAndrew
0,North West Leicestershire,Andrew Bridgen MP,Conservative,@AndrewBridgenMP
0,Burton,Andrew Griffiths MP,Conservative,@agriffithsmp
0,Harrogate and Knaresborough,Andrew Jones MP,Conservative,@AndrewJones4MP
0,Brigg and Goole,Andrew Percy,Conservative,@andrewpercy
0,Romford,Andrew Rosindell MP,Conservative,@AndrewRosindell
0,South West Bedfordshire,Andrew Selous MP,Conservative,@AndrewSelous
0,Pendle,Andrew Stephenson MP,Conservative,@Andrew4Pendle
0,Ealing Central and Acton,Angie Bray,Conservative,@AngieBray2015
0,Broxtowe,Anna Soubry MP,Conservative,@Anna_Soubry
0,Newton Abbot,Anne Marie Morris,Conservative,@AMMorris4MP
0,Guildford,Anne Milton MP,Conservative,@AnneMiltonMP
0,Ipswich,Ben Gummer,Conservative,@ben4ipswich
0,North Essex,Bernard Jenkin MP,Conservative,@bernardjenkin
0,Stone,Bill Cash,Conservative,@BillCashMP
0,Great Yarmouth,Brandon Lewis MP,Conservative,@BrandonLewis
0,Braintree,Brooks Newmark MP,Conservative,@TweetBrooks
0,Romsey and Southampton North,Caroline Nokes,Conservative,@carolinenokes
0,Dover,Charlie Elphicke,Conservative,@CharlieElphicke
0,Bristol North West,Charlotte Leslie MP,Conservative,@CLeslieMP
0,Chesham and Amersham,Cheryl Gillan MP,Conservative,@CherylGillanMP
0,Norwich North,Chloe Smith,Conservative,@NorwichChloe
0,Daventry,Chris Heaton-Harris,Conservative,@chhcalling
0,Kingswood,Chris Skidmore MP,Conservative,@cskidmore2015
0,Warwick and Leamington,Chris White MP,Conservative,@ChrisWhite_MP
0,Tamworth,Christopher Pincher,Conservative,@ChrisPincher
0,Devizes,Claire Perry,Conservative,@claire4devizes
0,Bournemouth West,Conor Burns MP,Conservative,@conor_burns2015
0,Calder Valley,Craig Whittaker,Conservative,@Craig_Whittaker
0,Reigate,Crispin Blunt,Conservative,@crispinblunt15
0,Ashford,Damian,Conservative,@damiangreenmp
0,East Hampshire,Damian Hinds,Conservative,@damian57
0,Folkestone and Hythe,DamianCollins,Conservative,@DamianCollins
0,North Warwickshire,Dan Byles MP,Conservative,@danielbyles
0,Central Suffolk and North Ipswich,Daniel Poulter,Conservative,@DrDanPoulter
0,"Enfield, Southgate",David Burrowes,Conservative,@davidburrowesmp
0,Witney,David Cameron,Conservative,@David_Cameron
0,Bexleyheath and Crayford,David Evennett MP,Conservative,@DavidEvennett
0,Clwyd West,David Jones,Conservative,@DavidJonesMP
0,Aylesbury,David Lidington MP,Conservative,@DLidington
0,Morecambe and Lunesdale,David Morris MP,Conservative,@DavidMorris2015
0,"Dumfriesshire, Clydesdale and Tweeddale",David Mundell MP,Conservative,@DavidMundellDCT
0,Bury North,David Nuttall MP,Conservative,@DavidNuttallMP
0,Macclesfield,David Rutley,Conservative,@DavidRutley2015
0,Harwich and North Essex,Douglas Carswell MP,Conservative,@DouglasCarswell
0,Woodspring,Dr Liam Fox MP,Conservative,@LiamFoxMP
0,Bracknell,Dr Phillip Lee MP,Conservative,@DrPhillipLeeMP
0,Wantage,Ed Vaizey,Conservative,@edvaizey
0,Gainsborough,Edward Leigh,Conservative,@edwardleighac
0,South West Norfolk,Elizabeth Truss,Conservative,@trussliz
0,Brentwood and Ongar,Eric Pickles,Conservative,@EricPickles
0,Wirral West,Esther McVey,Conservative,@EstherMcVeyMP
0,Croydon Central,Gavin Barwell MP,Conservative,@BackBarwell
0,South Staffordshire,Gavin Williamson MP,Conservative,@GWilliamsonMP
0,Torridge and West Devon,Geoffrey Cox MP,Conservative,@Geoffrey_Cox
0,Mid Norfolk,George Freeman MP,Conservative,@Freeman_George
0,Meon Valley,George Hollingbery,Conservative,@GHollingbery
0,Aldershot,Gerald Howarth,Conservative,@geraldhowarth
0,Montgomeryshire,Glyn Davies,Conservative,@GlynDaviesMont
0,Sittingbourne and Sheppey,Gordon Henderson,Conservative,@ghendersonmp
0,Weaver Vale,Graham Evans MP,Conservative,@GrahamEvans
0,Beverley and Holderness,Graham Stuart MP,Conservative,@grahamstuart
0,Welwyn Hatfield,Grant Shapps MP,Conservative,@grantshapps
0,Bexhill and Battle,Greg Barker,Conservative,@GregBarkerUK
0,Tunbridge Wells,Greg Clark,Conservative,@gregclarkmp
0,Chelsea and Fulham,Greg Hands,Conservative,@GregHands
0,East Yorkshire,Greg Knight,Conservative,@gregknightmp
0,Aberconwy,Guto Bebb,Conservative,@GutoBebb
0,West Worcestershire,Harriett Baldwin,Conservative,@HarriettBaldwin
0,South Derbyshire,Heather Wheeler,Conservative,@HeatherWheeler
0,Maidstone and The Weald,Helen Grant,Conservative,@helengrant1
0,Maidstone and The Weald,Helen Grant MP,Conservative,@HelenGrant2015
0,East Devon,Hugo Swire,Conservative,@HugoSwire
0,Milton Keynes South,Iain Stewart MP,Conservative,@iainastewart
0,Rossendale and Darwen,Jake Berry,Conservative,@JakeBerry
0,Hornchurch,James Brokenshire,Conservative,@JBrokenshire
0,Rochford and Southend East,James Duddridge,Conservative,@JamesDuddridge
0,North Wiltshire,James Gray MP,Conservative,@JamesGray4MP
0,Halesowen and Rowley Regis,James Morris,Conservative,@JamesMorrisHRR
0,Colne Valley,Jason McCartney MP,Conservative,@JasonMcCartney
0,South West Surrey,Jeremy Hunt,Conservative,@Jeremy_Hunt
0,Stafford,Jeremy Lefroy,Conservative,@JeremyLefroyMP
0,Hereford and South Herefordshire,Jesse Norman,Conservative,@Jesse_Norman
0,Erewash,Jessica Lee MP,Conservative,@JessicaLeeMP
0,Orpington,Jo Johnson,Conservative,@JoJohnsonMP
0,Salisbury,John Glen,Conservative,@JohnGlenMP
0,Weston-Super-Mare,John Penrose MP,Conservative,@JohnPenroseNews
0,Wokingham,John Redwood,Conservative,@johnredwood
0,Carlisle,John Stevenson MP,Conservative,@John4Carlisle
0,Huntingdon,Jonathan Djanogly,Conservative,@JDjanogly
0,Cardiff North,Jonathan Evans MP,Conservative,@JonathanEvansCN
0,Skipton and Ripon,Julian Smith MP,Conservative,@VoteJulianSmith
0,North Swindon,Justin Tomlinson MP,Conservative,@JTomlinsonMP
0,Staffordshire Moorlands,Karen Bradley,Conservative,@karen__bradley
0,Lincoln,Karl McCartney,Conservative,@karlmccartney
0,Spelthorne,Kwasi Kwarteng,Conservative,@kwasikwarteng
0,South Thanet,Laura Sandys MP,Conservative,@Laura_Sandys
0,Basingstoke,Maria_MillerMP,Conservative,@Maria_MillerMP
0,Cities of London and Westminster,Mark Field MP,Conservative,@MarkFieldMP
0,Wyre Forest,Mark Garnier,Conservative,@Mark4WyreForest
0,Forest of Dean,Mark Harper,Conservative,@Mark_J_Harper
