conservative labour      feature
11    132    austerity
183     62   businesses
356    842      cameron
107     18        chaos
563    101 conservative
number_of.crisis.                 29    120       crisis
number_of.cuts.                   59    292         cuts
number_of.economy.               308     68      economy
number_of.end.                   123    315          end
number_of.income.                117     15       income
number_of.jobs.                  439    123         jobs
number_of.labour.               1138   2674       labour
number_of.register.               55    229     register
number_of.scrap.                  12     92        scrap
number_of.taxes.                 129     33        taxes
number_of.tories.                150   1233       tories
number_of.unemployment.          144     18 unemployment
number_of.vote.                  462    898         vote
