,costituency,name,party,twitter_id
0,West Bromwich West,Adrian Bailey,Labour,@Adrian_Bailey
0,"Southampton, Test",Alan Whitehead MP,Labour,@alanwhiteheadmp
0,Stockton North,Alex Cunningham,Labour,@ACunninghamMP
0,Wirral South,Alison McGovern,Labour,@Alison_McGovern
0,"Plymouth, Devonport",AlisonSeabeckMP,Labour,@alisonseabeck
0,Glasgow Central,AnasSarwar,Labour,@AnasSarwar
0,Denton and Reddish,Andrew Gwynne MP,Labour,@GwynneMP
0,Ellesmere Port and Neston,Andrew Miller MP,Labour,@APMiller1949
0,Leigh,Andy Burnham,Labour,@leighmp
0,Hammersmith,Andy Slaughter MP,Labour,@hammersmithandy
0,Wallasey,Angela Eagle,Labour,@angelaeagle
0,Stockport,Ann Coffey MP,Labour,@anncoffey_mp
0,Glasgow North,Ann McKechin,Labour,@AnnMcKechinMP
0,Stirling,Anne McGuire MP,Labour,@AnneMcGuire97
0,Great Grimsby,Austin Mitchell,Labour,@AVMitchell2010
0,Worsley,Barbara Keeley,Labour,@KeeleyMP
0,Brent North,Barry Gardiner MP,Labour,@BarryGardiner
0,Huddersfield,Barry Sheerman MP,Labour,@BarrySheerman
0,Exeter,Ben Bradshaw,Labour,@BenPBradshaw
0,Sefton Central,Bill Esterson,Labour,@Bill_Esterson
0,Coventry North East,Bob Ainsworth,Labour,@BobAinsworthMP
0,Houghton and Sunderland South,Bridget Phillipson,Labour,@bphillipsonMP
0,Don Valley,Caroline Flint,Labour,@CarolineFlintMP
0,Newcastle upon Tyne North,Catherine McKinnell,Labour,@CatMcKinnellMP
0,Rhondda,Chris Bryant,Labour,@ChrisBryant4MP
0,Nottingham East,Chris Leslie,Labour,@ChrisLeslieMP
0,Vale of Clwyd,Chris Ruane MP,Labour,@ChrisRuaneMP
0,Derby North,Chris Williamson,Labour,@ChriswMP
0,Streatham,Chuka Umunna,Labour,@ChukaUmunna
0,"Sheffield, Attercliffe",Clive Betts,Labour,@CliveBettsMP
0,Eltham,Clive Efford,Labour,@CliveEfford
0,Aberdeen South,Dame Anne Begg MP,Labour,@annebegg
0,Barnsley Central,Dan Jarvis,Labour,@dan4barnsley
0,Delyn,David Hanson,Labour,@DavidHansonMP
0,Tottenham,David Lammy,Labour,@DavidLammy
0,South Shields,David Miliband,Labour,@DMiliband
0,Telford,David Wright MP,Labour,@DavidWrightMP
0,Oldham East and Saddleworth,Debbie Abrahams,Labour,@Debbie_abrahams
0,Rotherham,Denis MacShane,Labour,@DenisMacShane
0,Kingston upon Hull North,Diana Johnson,Labour,@DianaJohnsonMP
0,Hackney North and Stoke Newington,Diane Abbott MP,Labour,@HackneyAbbott
0,Paisley and Renfrewshire South,Douglas Alexander,Labour,@Douglas4Paisley
0,Normanton,Ed Balls,Labour,@edballsmp
0,Doncaster North,Ed Miliband,Labour,@Ed_Miliband
0,Islington South and Finsbury,Emily Thornberry MP,Labour,@EmilyThornberry
0,Wolverhampton North East,Emma Reynolds,Labour,@EmmaReynoldsMP
0,Falkirk,Eric Joyce MP,Labour,@ericjoyce
0,Leeds North East,Fabian Hamilton,Labour,@fabianhamilton
0,East Lothian,Fiona O'Donnell MP,Labour,@FionaODonnellMP
0,Birkenhead,Frank Field's Team,Labour,@frankfieldteam
0,Motherwell and Wishaw,Frank Roy,Labour,@FrankRoyMP
0,Harrow West,Gareth Thomas MP,Labour,@GarethThomasMP
0,Luton South,Gavin Shuker,Labour,@gavinshuker
0,West Dunbartonshire,Gemma Doyle,Labour,@GemmaWDMP
0,Swansea West,Geraint Davies MP,Labour,@GeraintDaviesMP
0,Bradford South,Gerry Sutcliffe,Labour,@GSutcliffeMP
0,"Birmingham, Edgbaston",Gisela,Labour,@GiselaStuart
0,Hampstead and Highgate,Glenda Jackson,Labour,@glendajacksonmp
0,Ashfield,Gloria De Piero,Labour,@GloriaDePiero
0,Nottingham North,Graham Allen MP,Labour,@GrahamAllenMP
0,Hyndburn,Graham Jones,Labour,@GrahamJones_MP
0,Easington,Grahame Morris,Labour,@grahamemorris
0,"Cumbernauld, Kilsyth and Kirkintilloch East",Gregg McClymont MP,Labour,@greggmcclymont
0,Camberwell and Peckham,Harriet Harman,Labour,@HarrietHarman
0,Salford,Hazel Blears,Labour,@HazelBlearsMP
0,Lewisham East,Heidi Alexander,Labour,@heidi_mp
0,Bishop Auckland,Helen Goodman,Labour,@HelenGoodmanMP
0,Leeds Central,Hilary Benn MP,Labour,@hilarybennmp
0,Ogmore,Huw Irranca-Davies,Labour,@IrrancaDaviesMP
0,Inverclyde,Iain McKenzie,Labour,@vote4mckenzie
0,Hartlepool,Iain Wright,Labour,@IainWrightMP
0,Dudley North,Ian Austin,Labour,@IanAustinMP
0,Glasgow South West,Ian Davidson MP,Labour,@IanDavidson4MP
0,Wansbeck,Ian Lavery MP,Labour,@IanLaveryMP
0,Wrexham,Ian Lucas,Labour,@IanCLucas
0,Gateshead,Ian Mearns MP,Labour,@IanMearnsMP
0,Edinburgh South,Ian Murray,Labour,@IanMurrayMP
0,Bury South,Ivan Lewis,Labour,@IvanLewis_MP
0,"Birmingham, Erdington",JackDromeyMP,Labour,@JackDromeyMP
0,Copeland,Jamie Reed,Labour,@jreedmp
0,Darlington,Jenny Chapman MP,Labour,@JennyChapman
0,Islington North,Jeremy Corbyn MP,Labour,@jeremycorbyn
0,Dundee West,Jim McGovern,Labour,@Jim4DundeeWest
0,Renfrewshire East,Jim Murphy,Labour,@JimForScotland
0,Paisley and Renfrewshire North,Jim Sheridan,Labour,@JimSheridanMP
0,"Southampton, Itchen",John Denham,Labour,@JYDenham
0,Wentworth,John Healey MP,Labour,@JohnHealey_MP
0,Bassetlaw,John Mann,Labour,@JohnMannOffice
0,Hayes and Harlington,John McDonnell,Labour,@johnmcdonnellMP
0,Glasgow North West,John Robertson,Labour,@JohnRobertsonMP
0,Barrow and Furness,John Woodcock,Labour,@JWoodcockMP
0,Dagenham,Jon Cruddas,Labour,@JonCruddas_1
0,Hemsworth,Jon Trickett,Labour,@jon_trickett
0,Leicester South,Jonathan Ashworth MP,Labour,@JonAshworth
0,Stalybridge and Hyde,Jonathan Reynolds MP,Labour,@jreynoldsMP
0,Bolton West,Julie Ann Hilling,Labour,@JulieHillingMP
0,Sunderland Central,Julie Elliott MP,Labour,@JulieElliottMP
0,Regent's Park and Kensington North,Karen Buck,Labour,@KarenBuckMP
0,Kingston upon Hull East,Karl Turner MP,Labour,@KarlTurnerMP
0,Stretford and Urmston,Kate Green,Labour,@KateGreenSU
0,Leicester East,Keith Vaz MP,Labour,@Keith_Vaz
0,Bristol East,Kerry McCarthy MP,Labour,@KerryMP
0,North Durham,Kevan Jones MP,Labour,@KevanJonesMP
0,Cardiff West,Kevin Brennan,Labour,@KevinBrennanMP
0,"Birmingham, Hodge Hill",Liam Byrne,Labour,@LiamByrneMP
0,Nottingham South,Lilian Greenwood,Labour,@LilianGreenwood
0,Halifax,Linda Riordan MP,Labour,@Linda_Riordan
0,Chorley,Lindsay Hoyle MP,Labour,@LindsayHoyle_MP
0,Wigan,Lisa Nandy,Labour,@lisanandy
0,Leicester West,Liz Kendall MP,Labour,@leicesterliz
0,"Liverpool, Riverside",Louise Ellman MP,Labour,@LouiseEllman
0,"Liverpool, Wavertree",Luciana Berger,Labour,@lucianaberger
0,Glasgow East,Margaret Curran,Labour,@Margaret_Curran
0,Barking,Margaret Hodge MP,Labour,@margarethodge
0,"Liverpool, Garston",Maria Eagle MP,Labour,@meaglemp
0,Edinburgh North and Leith,Mark Lazarowicz,Labour,@marklazarowicz
0,Wakefield,Mary Creagh MP,Labour,@Mary4Wakefield
0,"Sheffield, Heeley",Meg Munn,Labour,@MegMunn01
0,Hackney South and Shoreditch,MegHillierMP,Labour,@Meg_HillierMP
0,Barnsley East,Michael Dugher,Labour,@MichaelDugher
0,"East Kilbride, Strathaven and Lesmahagow",Michael McCann MP,Labour,@MichaelMcCannMP
0,Oldham West and Royton,Michael Meacher,Labour,@michaelmeacher
0,Ilford South,Mike Gapes MP,Labour,@MikeGapes
0,Llanelli,Nia Griffith,Labour,@NiaGriffithMP
0,Scunthorpe,Nic Dakin MP,Labour,@NicDakinMP
0,Blaenau Gwent,Nick Smith,Labour,@NickSmith4BG
0,Pontypridd,Owen Smith MP,Labour,@OwenSmith4MP
0,Airdrie and Shotts,Pamela Nash,Labour,@pamela_nash
0,North West Durham,Pat Glass,Labour,@PatGlassMP
0,Wolverhampton South East,Pat McFadden,Labour,@patmcfaddenmp
0,Sheffield Central,Paul Blomfield,Labour,@PaulBlomfieldMP
0,Newport West,Paul Flynn,Labour,@PaulFlynnMP
0,Neath,Peter Hain,Labour,@PeterHain
0,Sedgefield,Phil Wilson,Labour,@PhilWilsonMP
0,"Durham, City of",R. Blackman-Woods,Labour,@robertabwMP
0,Leeds West,Rachel Reeves,Labour,@RachelReevesMP
0,"Birmingham, Northfield",Richard Burden MP,Labour,@RichardBurdenMP
0,Stoke-on-Trent South,Rob Flello MP,Labour,@RobFlelloMP
0,"Birmingham, Sparkbrook and Small Heath",Roger Godsiff MP,Labour,@RogerGodsiff
0,West Lancashire,Rosie Cooper MP,Labour,@rosie4westlancs
0,Bethnal Green and Bow,Rushanara Ali,Labour,@rushanaraali
0,Dumfries and Galloway,Russell Brown,Labour,@russellbrown4dg
0,Tooting,Sadiq Khan MP,Labour,@SadiqKhan
0,"Birmingham, Ladywood",Shabana Mahmood MP,Labour,@ShabanaMahmood
0,Gateshead East and Washington West,Sharon Hodgson MP,Labour,@SharonHodgson_
0,Edinburgh East,Sheila Gilmore,Labour,@SheilaGilmoreMP
0,Rochdale,Simon Danczuk,Labour,@SimonDanczuk
0,Mitcham and Morden,Siobhain McDonagh MP,Labour,@Siobhain4MandM
0,East Ham,Stephen Timms,Labour,@stephenctimms
0,"Liverpool, West Derby",Stephen Twigg,Labour,@StephenTwigg
0,"Birmingham, Hall Green",Steve McCabe,Labour,@steve_mccabe
0,"Liverpool, Walton",Steve Rotheram,Labour,@Steve_Rotheram
0,Dulwich and West Norwood,Tessa Jowell,Labour,@TessaJowell
0,Dunfermline and West Fife,Thomas Docherty MP,Labour,@Thomas_Docherty
0,Chesterfield,Toby Perkins MP,Labour,@tobyperkinsmp
0,Middlesbrough South and East Cleveland,Tom Blenkinsop,Labour,@TomBlenkinsop
0,Rutherglen and Hamilton West,Tom Greatrex MP,Labour,@tomgreatrexmp
0,Glasgow South,Tom Harris,Labour,@TomHarrisMP
0,Stoke-on-Trent Central,Tristram Hunt,Labour,@TristramHuntMP
0,Gedling,Vernon Coaker,Labour,@Vernon_Coaker
0,"Ealing, Southall",Virendra Sharma MP,Labour,@VirendraSharma
0,Caerphilly,Wayne David MP,Labour,@ReelectWDavid
0,Glasgow North East,William Bain,Labour,@William_Bain
0,Bolton South East,Yasmin Qureshi,Labour,@YasminQureshiMP
0,Pontefract and Castleford,Yvette Cooper,Labour,@YvetteCooperMP
0,Makerfield,Yvonne Fovargue,Labour,@Y_FovargueMP
0,Penistone and Stocksbridge,angela smith mp,Labour,@angelasmithmp
0,Kilmarnock and Loudoun,cathy jamieson mp,Labour,@cathyjamieson
0,Newcastle upon Tyne Central,chi onwurah,Labour,@ChiOnwurah
0,Slough,fiona mactaggart,Labour,@fionamacmp
0,Warley,john spellar,Labour,@spellar
0,Walthamstow,stellacreasy,Labour,@stellacreasy
0,Erith and Thamesmead,teresa pearce,Labour,@tpearce003
0,West Bromwich East,tom_watson,Labour,@tom_watson
